block_num,trial_num,target,kl_prev,kl_target,block_set
0,1,hold,NA,10.605971583348365,0
0,2,hold,9.566182823041803,11.89271046234279,0
0,3,hold,5.918113611547027,12.267771455267248,0
0,4,hold,15.69195869777133,5.872006783750544,0
0,5,hold,16.436086605580158,12.341893661212424,0
0,6,hold,7.839321459871013,11.942242754663006,0
0,7,hold,10.793467852539125,12.158376000082598,0
0,8,hold,14.938588269123018,12.8662140268159,0
0,9,hold,16.035950518532267,10.339843567805174,0
0,10,hold,11.14495732969526,9.82355165694402,0
0,11,hold,9.013665159600372,9.562565358860917,0
0,12,hold,7.148769053627539,6.807443626674029,0
0,13,hold,15.67062965574456,11.802920341495101,0
0,14,hold,8.328258143029766,11.56063532058476,0
0,15,hold,12.696832273123182,10.746238190982394,0
0,16,hold,12.462768474571066,11.530686381591496,0
0,17,hold,16.223058929151943,12.338820625033154,0
0,18,hold,13.664086901597416,11.046503566807402,0
0,19,hold,4.05594264073223,12.482119517667954,0
0,20,hold,14.88132645543587,11.35253231792943,0
0,21,hold,11.724339268228633,10.004684010895827,0
0,22,hold,15.849472628967899,12.457455698244651,0
0,23,hold,9.859779206735464,11.696912893073208,0
0,24,hold,6.713234412360286,12.032137777683626,0
0,25,hold,16.483165426601186,8.975194222376375,0
0,26,hold,3.1031574232201744,9.30856044661904,0
0,27,hold,14.320381388575468,12.223799145010856,0
0,28,hold,16.15000852504334,12.341608944631165,0
0,29,hold,15.088018077879585,10.26669406700135,0
0,30,hold,10.838800914090502,12.55235007078306,0
0,31,hold,16.55649119338053,12.462296824030819,0
0,32,hold,13.278082360457947,11.206485315020307,0
0,33,hold,7.79560193786536,9.564024602194184,0
0,34,hold,0.40735382621346417,9.035829026078526,0
0,35,hold,9.47791751084297,10.815350211506782,0
0,36,hold,16.18103503306103,12.565327962824727,0
0,37,hold,10.462463666316422,12.568704400994555,0
0,38,hold,14.081661602901699,9.159939176791474,0
0,39,hold,15.59059753096197,12.002198111271703,0
0,40,hold,15.272257618659143,12.38819956863525,0
0,41,hold,7.242448200378087,9.749367621603888,0
0,42,hold,8.372563716478938,7.761941621635572,0
0,43,hold,16.409266257525417,12.298541727889761,0
0,44,hold,14.278422864641433,11.801930354451041,0
0,45,hold,8.892036153982518,12.601457219727548,0
0,46,hold,15.92443817329781,9.560245000184956,0
0,47,hold,13.737143471464885,11.336465995685423,0
0,48,hold,14.208506905683524,11.795555062306846,0
0,49,hold,12.439834656592394,11.04225926464666,0
0,50,hold,10.85807668188697,12.379126201441858,0
0,51,hold,14.477056103147376,11.081159286042887,0
0,52,hold,13.22790322435807,11.032473915271478,0
0,53,hold,14.474949115754457,11.44041049844705,0
0,54,hold,9.065459854082473,11.725011968271215,0
0,55,hold,15.995593779267114,7.355798279707059,0
0,56,hold,11.697965979409846,8.814638948038985,0
0,57,hold,15.143920882527462,11.44157333968781,0
0,58,hold,13.037549925842619,10.893777687461146,0
0,59,hold,16.694289372092058,12.600095995919594,0
0,60,hold,16.507704815390067,12.413510699072505,0
0,61,hold,15.104700469050519,11.792962566127086,0
0,62,hold,12.959032816809305,12.285397650252602,0
0,63,hold,15.900543479076736,5.645506713651789,0
0,64,hold,16.215229061412213,12.60465640372963,0
0,65,hold,4.596974944249796,12.048008955766019,0
0,66,hold,14.210106617955304,9.233904808979386,0
