block_num,trial_num,target,kl_prev,kl_target,ent_p,block_set
1,1,shake,NA,4.1580244819827366,1.189939493023748,1
1,2,shake,4.416002807381711,4.688904066604845,1.5503826596749457,1
1,3,shake,1.4320654430907773,7.221203167949829,2.137713187786537,1
1,4,shake,5.661601252170358,7.749025485261799,2.0555522461112212,1
1,5,shake,10.182789226437155,0.6299110428811383,0.29115019657944247,1
1,6,shake,0.5990785104653955,1.8805870220603125,0.7934086991262488,1
2,7,hold,NA,9.966795429054205,1.9431556252169155,1
2,8,hold,10.032317427908053,10.652571175792714,1.8259821111352097,1
2,9,hold,8.178806727544554,10.99812648531312,0.975344061901418,1
2,10,hold,2.334484827672187,6.827711720430436,1.6398900914657406,1
2,11,hold,1.9014280145539284,8.901201425278545,1.794706761635269,1
2,12,hold,2.7442379637806384,7.750820875826142,1.7771476447797931,1
3,13,eat,NA,0.6540591636817946,0.2987736792431265,1
3,14,eat,0.619956065764067,1.904372211015514,0.8587669552414613,1
3,15,eat,1.9488910054148851,2.984506755700888,1.1601822769059231,1
3,16,eat,3.3345434025003193,3.2737495435861694,1.1669864810449557,1
3,17,eat,2.778736680988086,4.283455979457326,1.7032995416159329,1
3,18,eat,4.665197746580993,4.125185290686351,1.4010536082702967,1
4,19,fall,NA,11.688206756416847,2.127335355374238,1
4,20,fall,5.599837389833478,9.335183618778938,2.6382922352989393,1
4,21,fall,8.699620245029067,4.188958344254152,1.6046821113274157,1
4,22,fall,4.001603129983288,3.191392288355607,1.265264557857708,1
4,23,fall,2.661114658513977,4.619268299118334,1.1743721564632332,1
4,24,fall,1.5082697498000581,4.894459080011449,1.552818045492899,1
5,25,drive,NA,12.752730135468148,1.0628039765468134,1
5,26,drive,1.2793964797637845,12.126664117890527,1.6888699941244365,1
5,27,drive,7.07240909721712,8.61614613593028,1.5152544930790848,1
5,28,drive,1.1815310882849022,7.0793950237555805,1.8338645888073317,1
5,29,drive,2.337003257923663,7.456119640285566,1.9028012904093519,1
5,30,drive,1.8807435312373553,5.831941644354407,1.7443340138124919,1
6,31,turn,NA,9.778258602894995,2.655733811897346,1
6,32,turn,4.875024441097681,9.577558017743595,2.3959178363342852,1
6,33,turn,5.405509452729368,9.961004712992564,2.0124711410853156,1
6,34,turn,2.702923140046082,9.454152934018213,1.6874219590363633,1
6,35,turn,2.4135377641717892,8.487163575269056,1.7630889115400215,1
6,36,turn,4.251638118230975,7.561506139712786,1.797423940850789,1
7,37,put,NA,9.867481104484783,2.106000056431341,1
7,38,put,4.930660529038032,9.226860398815235,2.3603810565934364,1
7,39,put,8.529884123958777,6.74949229531088,2.1637823726458105,1
7,40,put,6.428025237570748,8.951863647978884,2.1897166761877904,1
7,41,put,10.442667127334664,4.795232334225197,1.444075546279507,1
7,42,put,3.6405458483339928,6.647544766652366,1.8200687700623253,1
8,43,cut,NA,0.3031740535786611,0.14251765195245428,1
8,44,cut,0.47963834958148005,0.6299127074334442,0.2911513916157957,1
8,45,cut,1.5363639399522917,5.53580166427474,1.5948102445212824,1
8,46,cut,7.419802333546748,2.3361808123609262,0.8874668577876572,1
8,47,cut,2.788651722830454,1.5716561897606331,0.6566809033077916,1
8,48,cut,0.9717903297013947,2.5918166416837196,0.9735044920376871,1
9,49,fit,NA,11.624376236572056,2.1911668751865405,1
9,50,fit,5.083659890267311,11.950356415327345,1.8651866815758968,1
9,51,fit,2.652443493806947,11.548093575361369,2.2674495056620105,1
9,52,fit,4.9645578848576655,10.961268478684989,1.962952255580411,1
9,53,fit,2.92857095602755,11.751256246768392,2.0642868649902053,1
9,54,fit,5.135221433758166,11.461674827812566,1.9082070951994332,1
10,55,knock,NA,11.100980595021962,1.8232308807289899,1
10,56,knock,3.2771138002392277,11.030449241723316,1.8640514883987216,1
10,57,knock,2.3816321483009686,11.155113086955854,1.7690983887950984,1
10,58,knock,7.608577950251084,12.130800524227764,0.7934109515231857,1
10,59,knock,2.125454141450735,10.843050359657704,2.0811611160932464,1
10,60,knock,5.753532401104649,11.692729078128497,1.2017716519935404,1
11,61,stack,NA,3.655186564740299,0.9500034061159213,1
11,62,stack,0.9880700071990692,2.734556593715399,0.9495997644944969,1
11,63,stack,0.9009665202355084,3.074929970616211,0.9360446124496457,1
11,64,stack,0.9603270384598398,3.308657786109608,1.1479782300975665,1
11,65,stack,1.3054712023375943,2.994220414681678,1.0167541683841783,1
11,66,stack,1.336984722725827,3.0389391089802804,0.9720354740855766,1
1,19,shake,NA,4.522632112141386,1.4995473919851405,2
1,20,shake,4.757581655805351,0.6874083101576478,0.34879197590282635,2
1,21,shake,0.5954279433539872,2.779388691438647,1.264210241466527,2
1,22,shake,3.879202621283226,4.053215933119131,1.3382368325688232,2
1,23,shake,3.691748686160783,2.8470123974299013,1.196586535475274,2
1,24,shake,3.371871227865194,1.343289330440963,0.6785288532900435,2
2,61,hold,NA,7.941480775506855,1.7294046633657327,2
2,62,hold,0.7836490086384045,7.425055050254075,2.139557353858131,2
2,63,hold,0.5764613793750619,7.063983537690382,2.2615143367350257,2
2,64,hold,3.9439586632718764,7.419009790387429,1.5611005195908012,2
2,65,hold,1.6524648532192714,7.235228658801802,1.975140095371203,2
2,66,hold,2.4042437923575335,8.596089214521362,2.1109589176927552,2
3,1,eat,NA,11.467940153855595,1.6736823143656918,2
3,2,eat,7.980700486073934,10.944615463759554,2.5166902073426023,2
3,3,eat,4.6853637212199075,8.164169486080903,2.361975282828544,2
3,4,eat,4.408798654559999,9.456513600645103,2.0002919875283696,2
